ip,port,timestamp,status,fingerprint,weight
171.224.12.42,80,2026-06-04T16:55:50.635502,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""webplugin"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""rpcCore"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
14.224.131.139,443,2026-06-04T16:56:11.068034,fingerprint_done,"{""vendor"":""panasonic"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""panasonic"",""source"":""html"",""pattern"":""Panasonic"",""cves"":[]},{""field"":""vendor"",""value"":""panasonic"",""source"":""html"",""pattern"":""panasonic"",""cves"":[]}],""cves"":[]}",0.8
14.241.237.21,80,2026-06-04T16:56:18.766934,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
14.183.49.204,80,2026-06-04T16:56:39.108327,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
203.162.65.226,80,2026-06-04T16:56:44.434785,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""webplugin"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""rpcCore"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
14.243.127.66,80,2026-06-04T16:57:09.943788,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
222.255.117.216,80,2026-06-04T16:57:19.908105,fingerprint_done,"{""vendor"":""panasonic"",""model"":""BB-02BC"",""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""panasonic"",""source"":""html"",""pattern"":""BB-"",""cves"":[]},{""field"":""model"",""value"":""BB-02BC"",""source"":""html"",""pattern"":""BB-\\w+"",""cves"":[]}],""cves"":[]}",0.8
116.108.105.45,80,2026-06-04T16:57:19.988336,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
118.69.134.185,80,2026-06-04T16:57:24.973602,fingerprint_done,"{""vendor"":""panasonic"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""panasonic"",""source"":""html"",""pattern"":""Panasonic"",""cves"":[]},{""field"":""vendor"",""value"":""panasonic"",""source"":""html"",""pattern"":""panasonic"",""cves"":[]}],""cves"":[]}",0.8
14.236.172.86,80,2026-06-04T16:57:27.328150,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""webplugin"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""rpcCore"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
42.118.209.214,80,2026-06-04T16:58:03.898151,fingerprint_done,"{""vendor"":""dahua"",""model"":null,""version"":null,""raw_banner"":null,""services"":[""html""],""probe_method"":""html"",""endpoint"":null,""evidence_items"":[{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""WEB SERVICE"",""cves"":[]},{""field"":""vendor"",""value"":""dahua"",""source"":""html"",""pattern"":""pluginVersion.js"",""cves"":[]}],""cves"":[]}",0.8
